nurse_id,nurse_name,nurse_last_name,date_of_birth,gender,email,phone_number,nurse_type,specialty,department_id,wing_id,shift_type,employment_status_active,vacation_status,salary
28,Lauren,Mendez,1978-07-31,Female,fhartman@example.com,(227)709-1815,RN,Emergency Room,18,1,Rotating,True,False,59540
29,Angelica,Miller,1982-06-22,Female,hancockrussell@example.net,+1-611-963-8180,RN,Emergency Room,18,1,Night,True,False,57093
30,James,Smith,1980-09-12,Male,egriffith@example.com,+1-595-903-2777x2710,CNA,Emergency Room,18,1,Rotating,True,False,64719
31,Denise,Myers,2002-10-07,Female,yatesdennis@example.com,+1-255-795-4867x3094,LPN,Emergency Room,18,1,Day,True,False,60569
32,Anna,Weaver,1996-01-15,Female,nbowman@example.com,459.314.2800x3396,RN,Emergency Room,18,1,Day,True,False,70446
33,Jesse,Watson,1982-09-25,Male,christopherbradley@example.com,8589623257,RN,Emergency Room,18,1,Night,True,False,69595
34,Leslie,Coleman,2000-11-22,Female,chad65@example.com,444-353-6458,RN,Emergency Room,18,1,Night,True,False,67577
35,Gloria,Brooks,1975-10-26,Female,joshua81@example.org,301-522-6237x80599,RN,Emergency Room,18,1,Day,True,False,58174
36,Reginald,West,1974-11-16,Male,hannah46@example.org,+1-710-699-2648x7073,RN,Emergency Room,18,1,Rotating,True,False,60917
37,Raymond,Allen,1998-12-22,Male,ggray@example.com,+1-690-978-2216x41812,RN,Emergency Room,18,1,Day,True,False,69575
38,Paul,Perez,1984-10-08,Male,luis24@example.net,754-921-0869,RN,Emergency Room,18,1,Day,True,False,59614
39,Jessica,Watkins,1978-12-21,Female,fritzmelissa@example.org,489-600-3407,RN,Emergency Room,18,1,Night,True,False,63310
40,Reginald,Harrison,1999-02-05,Male,ellisrandy@example.com,406-843-5069x817,RN,Emergency Room,18,1,Rotating,True,False,61986
41,Ashley,Farmer,1988-07-21,Female,jenkinsdanielle@example.org,+1-690-594-7814x6242,LPN,Emergency Room,18,1,Night,True,False,59737
42,Jason,Hunter,1987-12-01,Male,tabitha79@example.com,(279)754-0843x3282,RN,Emergency Room,18,1,Rotating,True,False,56188
43,Michael,Morris,1997-05-26,Male,marshallanthony@example.org,621.689.1790,CNA,Emergency Room,18,1,Rotating,True,False,62586
44,Sarah,Nelson,2002-11-23,Female,braunann@example.com,730.567.7498x6875,LPN,Emergency Room,18,1,Day,True,False,56374
45,Kevin,Williams,1990-02-14,Male,evanstracy@example.net,001-923-283-9231x56274,RN,Emergency Room,18,1,Rotating,True,False,60011
46,Sheila,Kelley,1987-08-30,Female,whitewilliam@example.com,450.348.2324x4043,RN,Emergency Room,18,1,Day,True,False,55630
47,Ashley,Bonilla,1964-08-22,Female,brookskelly@example.org,(634)768-5641,RN,Emergency Room,18,1,Rotating,True,False,69408
48,Donna,Hardy,1968-04-10,Female,umedina@example.org,514-209-6979x84461,LPN,Emergency Room,18,1,Night,True,False,72377
49,Lisa,Johnson,1974-07-26,Female,mcooper@example.org,(636)582-1364,RN,Emergency Room,18,1,Day,True,False,67842
50,Jorge,Henderson,1992-06-12,Male,nhouston@example.org,(397)804-8914x65066,RN,Emergency Room,18,1,Rotating,True,False,57874
51,Gary,York,1991-04-11,Male,alexistran@example.com,+1-869-603-0347x780,RN,Emergency Room,18,1,Day,True,False,59441
52,Charles,Diaz,1988-10-20,Male,eugenejohnson@example.org,+1-486-349-7652x38675,LPN,Emergency Room,18,1,Night,True,False,60994
53,Tanner,Gonzalez,2001-04-23,Male,william85@example.org,2186751185,LPN,Emergency Room,18,1,Night,True,False,57616
54,Joshua,Koch,1966-01-24,Male,morgancarl@example.org,693-505-2489,LPN,Emergency Room,18,1,Night,True,False,73930
55,Cynthia,Smith,1964-10-06,Female,hudsondeborah@example.com,001-324-464-0752x888,RN,Emergency Room,18,1,Rotating,True,False,67241
56,Jordan,Steele,1968-03-19,Male,joshua68@example.org,+1-213-709-8445,RN,Emergency Room,18,1,Day,True,False,67989
57,Charles,Berg,1984-09-19,Male,michaelrodriguez@example.com,358-485-0904x2503,RN,Emergency Room,18,1,Night,True,False,70510
58,Kimberly,Chapman,1989-01-21,Female,summeranderson@example.net,(825)307-3111,RN,Emergency Room,18,1,Day,True,False,59027
59,Jorge,Martinez,1978-06-05,Male,hernandezregina@example.com,+1-298-902-8427x5393,CNA,Emergency Room,18,1,Day,True,False,61585
60,Thomas,Meadows,1984-09-16,Male,timothycervantes@example.net,937-381-7037x56289,RN,Emergency Room,18,1,Day,True,False,57467
61,Marilyn,Martin,1966-06-25,Female,megan94@example.net,+1-696-318-4046,RN,Emergency Room,18,1,Night,True,False,71336
62,Melissa,Avila,1991-08-23,Female,zjohnson@example.org,913.266.5647x17665,LPN,Emergency Room,18,1,Day,True,False,55151
63,Roy,Morris,1965-06-16,Male,theresahull@example.com,001-425-879-1353x60119,RN,Emergency Room,18,1,Day,True,False,64091
64,Katelyn,Moran,1985-05-19,Female,erin41@example.org,(533)679-2473x16028,LPN,Emergency Room,18,1,Night,True,False,70742
65,Jessica,Brooks,1968-06-12,Female,rodriguezcindy@example.org,505-882-4469x18005,RN,Emergency Room,18,1,Night,True,False,55108
66,Robert,Hayden,1990-05-05,Male,aellis@example.net,001-318-331-2462,RN,Emergency Room,18,1,Night,True,False,64724
67,Robert,Cantrell,1981-07-02,Male,mary60@example.net,798.792.6201x84191,RN,Emergency Room,18,1,Rotating,True,False,67564
68,Anna,Gross,1989-12-14,Female,mhernandez@example.com,001-840-907-7603x645,RN,Emergency Room,18,1,Rotating,True,False,62527
69,Joseph,Hart,2001-05-29,Male,lorraineho@example.org,+1-514-452-0762x3459,LPN,Emergency Room,18,1,Night,True,True,71813
70,Thomas,Davidson,2004-03-10,Male,denise67@example.org,+1-444-660-0831,RN,Emergency Room,18,1,Rotating,True,False,68539
71,Isaac,Hill,1992-05-20,Male,flynndavid@example.org,2158971585,RN,Emergency Room,18,1,Day,True,False,62311
72,Lawrence,Bennett,2000-10-17,Male,keithvang@example.net,+1-275-747-7764x0472,RN,Emergency Room,18,1,Night,True,False,69092
73,Heather,Wong,1971-08-04,Female,uschmitt@example.com,+1-388-681-6498,CNA,Emergency Room,18,1,Night,True,False,62964
74,Renee,Webb,1992-06-17,Female,laura78@example.net,337-954-0169x0437,CNA,Emergency Room,18,1,Rotating,True,False,74577
75,Brandon,Nguyen,1989-11-24,Male,hhansen@example.com,205-855-8286x21570,RN,Emergency Room,18,1,Day,True,False,57256
76,Chad,Hansen,1979-04-03,Male,riversjoseph@example.com,4202263571,CNA,Emergency Room,18,1,Night,True,False,73220
77,Kyle,Young,1962-01-17,Male,brettbaker@example.net,671.854.6589x89212,RN,Emergency Room,18,1,Night,True,False,58884
78,Michael,Hoffman,1996-11-21,Male,jonathankoch@example.com,(983)734-2253,RN,Emergency Room,18,1,Night,True,True,57593
79,John,Kramer,1978-03-07,Male,robertmitchell@example.com,(365)583-3842x161,RN,Emergency Room,18,1,Day,True,False,69123
80,Mary,Hopkins,1967-06-05,Female,laurabarrett@example.net,(760)221-8633,RN,Emergency Room,18,1,Night,True,False,68893
81,Tiffany,Jackson,1988-04-17,Female,hansonbecky@example.net,977.563.4976x8262,RN,Emergency Room,18,1,Day,True,False,70244
82,Jacqueline,Lewis,2002-12-23,Female,rdecker@example.org,001-714-344-8718x62994,RN,Emergency Room,18,1,Rotating,True,False,60663
83,Alexander,Keller,1962-07-26,Male,sethpeck@example.org,(767)876-2518x7076,RN,Emergency Room,18,1,Night,True,False,73132
84,Kathryn,Sosa,1979-05-09,Female,ryan54@example.net,001-964-415-2854x36689,RN,Emergency Room,18,1,Day,True,False,72715
85,Bryan,Edwards,2000-07-25,Male,villarrealerica@example.org,(263)754-1314,RN,Emergency Room,18,1,Rotating,True,False,57133
86,Amanda,Lewis,1988-08-14,Female,hernandezvicki@example.org,(876)487-8159x077,CNA,Emergency Room,18,1,Day,True,False,57051
87,Kristen,Salas,1962-03-26,Female,johnmoore@example.com,(600)497-6314x6076,LPN,Emergency Room,18,1,Night,True,False,63297
88,Joel,Ruiz,1996-09-16,Male,sdoyle@example.com,257.899.6905x37239,RN,Emergency Room,18,1,Day,True,False,58825
89,Anthony,Diaz,1992-11-10,Male,jrobinson@example.net,324.342.5207x8474,RN,Emergency Room,18,1,Day,True,False,60753
90,Breanna,Lyons,1987-11-11,Female,henry21@example.net,602.479.0991x45395,RN,Emergency Room,18,1,Night,True,False,70646
91,Johnny,Ward,1964-07-20,Male,brentpierce@example.org,001-734-930-7507x61529,RN,Emergency Room,18,1,Rotating,True,False,60343
92,Kevin,Gibbs,1984-03-20,Male,imoran@example.com,001-295-837-8161x41392,RN,Emergency Room,18,1,Night,True,False,68494
93,Megan,Clark,1972-07-30,Female,regina73@example.net,7966155995,LPN,Emergency Room,18,1,Day,True,False,58269
94,Veronica,Moore,1981-04-23,Female,matthewjones@example.net,+1-255-777-5993x965,RN,Emergency Room,18,1,Day,True,False,74522
95,Jordan,Gibson,1988-10-05,Male,ureyes@example.net,(379)584-9060x662,RN,Emergency Room,18,1,Day,True,False,58750
96,Nicole,Johnson,1972-06-02,Female,vgreene@example.com,001-875-607-0251x9966,RN,Emergency Room,18,1,Day,True,False,56801
97,Dakota,Myers,1994-01-23,Male,deborah56@example.net,756.855.4844,RN,Emergency Room,18,1,Rotating,True,False,66845
98,Emily,Jackson,1967-07-06,Female,diana73@example.org,(775)794-9173,RN,Emergency Room,18,1,Night,True,False,56691
99,Kristen,Jones,1999-07-04,Female,michaelrobinson@example.org,001-992-558-3719x3297,RN,Emergency Room,18,1,Night,True,False,59898
100,Angel,Campbell,2000-08-19,Female,xanderson@example.com,(887)582-9525x15425,RN,Emergency Room,18,1,Rotating,True,False,67843
101,Emily,Gordon,2004-05-16,Female,ecunningham@example.net,979.287.6530,RN,Emergency Room,18,1,Night,True,True,55491
102,Traci,King,1972-11-06,Female,gmedina@example.com,559.861.6608x16334,RN,Emergency Room,18,1,Night,True,False,69749
103,George,Kelly,1988-07-16,Male,melissagraham@example.com,(528)993-3674,CNA,Emergency Room,18,1,Day,True,False,64839
104,Sherri,White,1998-04-22,Female,paul61@example.com,636-383-0476,CNA,Emergency Room,18,1,Night,True,False,56415
105,Dylan,Miller,1972-12-08,Male,melissa20@example.com,+1-445-739-4013x74763,LPN,Emergency Room,18,1,Day,True,False,66514
106,Alex,Wagner,1962-12-31,Male,steven90@example.org,641.378.6805x55450,RN,Emergency Room,18,1,Day,True,False,68077
107,Steven,Ward,1985-05-10,Male,derek60@example.com,763.593.0056,RN,Emergency Room,18,1,Night,True,False,73615
108,Sarah,Pena,1982-03-23,Female,michael37@example.org,(784)616-9665,LPN,Emergency Room,18,1,Night,True,False,61531
109,Benjamin,Fisher,1964-09-16,Male,jimcochran@example.org,289-652-0138x711,RN,Emergency Room,18,1,Rotating,True,False,68565
110,Jesse,Velasquez,1988-12-26,Male,angela58@example.org,362.353.1518,RN,Emergency Room,18,1,Day,True,False,61239
111,Anthony,Jennings,2001-04-18,Male,shawnwilliams@example.org,(205)872-4108,CNA,Emergency Room,18,1,Day,True,False,62019
112,Brittany,Cox,1988-12-25,Female,ronald27@example.org,788.537.7736x06460,RN,Emergency Room,18,1,Day,True,False,70195
113,Theresa,Alexander,1988-04-17,Female,usullivan@example.org,4336924768,RN,Emergency Room,18,1,Night,True,False,58248
114,Jacob,Bush,1967-09-01,Male,debra59@example.net,960.368.1328x9270,RN,Emergency Room,18,1,Day,True,False,62858
115,Nicole,White,1986-04-28,Female,uclark@example.org,+1-894-248-8285x4204,RN,Emergency Room,18,1,Night,True,False,64555
116,Raymond,Kline,1964-08-22,Male,chaneyjames@example.com,232.623.6682,RN,Emergency Room,18,1,Night,True,False,69243
117,Kevin,Stewart,1967-10-15,Male,ymurphy@example.org,(551)486-7586,RN,Emergency Room,18,1,Rotating,True,False,61938
118,James,Newman,1993-02-17,Male,mary90@example.org,909-447-3033,RN,Gastroenterology,17,2,Night,True,False,65851
119,Christy,Gray,1996-01-30,Female,greendawn@example.net,540.253.9487x1770,RN,Gastroenterology,17,2,Night,True,False,68803
120,Marisa,Smith,1961-05-04,Female,christina83@example.net,(430)753-6332x4594,LPN,Gastroenterology,17,2,Night,True,False,55443
121,Melissa,Jones,1977-10-29,Female,mjames@example.com,4322275479,RN,Gastroenterology,17,2,Day,True,False,65797
122,Virginia,Lara,1995-10-27,Female,dennis76@example.com,(366)517-5740x785,RN,Gastroenterology,17,2,Rotating,True,False,70312
123,Timothy,Johnson,1975-03-13,Male,jessesmith@example.org,001-844-999-1831x388,LPN,Gastroenterology,17,2,Night,True,False,72246
124,Samantha,Robinson,1960-06-25,Female,jennifer14@example.org,587-377-5385x48730,RN,Gastroenterology,17,2,Rotating,True,False,73967
125,Jordan,Willis,1961-05-23,Male,dianelee@example.com,583.657.6449x037,RN,Gastroenterology,17,2,Day,True,False,62164
126,Robin,Hull,1976-07-24,Female,ericadouglas@example.net,915.886.2918x51304,LPN,Gastroenterology,17,2,Night,True,False,55841
127,Abigail,Garcia,1982-11-29,Female,jameskenneth@example.net,581-336-6480,RN,Gastroenterology,17,2,Night,True,False,59193
128,Terry,Walker,1984-06-13,Male,fernandezfrank@example.net,754-705-8039x07511,RN,Gastroenterology,17,2,Day,True,False,63793
129,Justin,Thompson,2001-09-03,Male,lgutierrez@example.net,(266)363-4005x375,RN,Gastroenterology,17,2,Night,True,False,68862
130,Andrew,Robinson,1963-05-01,Male,stevencarter@example.net,4559036671,RN,Gastroenterology,17,2,Night,True,False,56080
131,Douglas,Brown,1991-11-30,Male,paul33@example.net,(538)448-9231x8787,RN,Gastroenterology,17,2,Day,True,False,60286
132,Hannah,Mueller,1964-09-24,Female,castanedabryan@example.net,852.404.3054,RN,Gastroenterology,17,2,Day,True,False,74995
133,Jacob,Harris,2000-11-03,Male,dianewood@example.net,001-934-662-9378,RN,Gastroenterology,17,2,Night,True,False,72643
134,Jessica,Rodriguez,1994-11-05,Female,kristinaroberts@example.org,(664)321-8070,RN,Gastroenterology,17,2,Rotating,True,False,59697
135,Alexis,Gray,2001-09-09,Female,perezsarah@example.net,792-740-2202x980,RN,Gastroenterology,17,2,Day,True,False,73093
136,Christy,Pruitt,1978-03-24,Female,pattersonjames@example.org,987-252-4154x28752,RN,Gastroenterology,17,2,Day,True,False,60059
137,Angel,Stuart,1988-12-04,Male,cdavenport@example.com,(608)374-6479,LPN,Gastroenterology,17,2,Day,True,True,74772
138,Crystal,Lopez,1960-04-24,Female,cohenzachary@example.net,+1-519-764-6485x57148,LPN,Gastroenterology,17,2,Night,True,False,62378
139,Gloria,Hardin,1982-02-14,Female,howardjonathan@example.org,(440)694-9580x4494,RN,Gastroenterology,17,2,Rotating,True,False,55823
140,Cindy,Johnson,1973-12-13,Female,lindseyjaime@example.net,001-725-939-1137x612,RN,Gastroenterology,17,2,Day,True,False,63015
141,Jennifer,Ayala,1978-06-14,Female,shannon07@example.org,826.319.8516x7641,LPN,Gastroenterology,17,2,Day,True,False,67409
142,Bruce,Briggs,1961-09-28,Male,christianbailey@example.com,410-496-2793,RN,Rheumatology,12,3,Night,True,False,64651
143,Troy,Meyers,1971-05-10,Male,rfitzgerald@example.org,(630)548-9998,CNA,Rheumatology,12,3,Rotating,True,False,68248
144,Dennis,Young,1995-12-11,Male,abigailrodriguez@example.net,+1-850-375-1290x8605,LPN,Rheumatology,12,3,Night,True,False,55362
145,Diana,Wright,2003-03-05,Female,florestiffany@example.com,(513)955-5914x79497,CNA,Rheumatology,12,3,Day,True,False,61435
146,Troy,Anderson,1974-08-25,Male,kayla80@example.org,(976)926-7160x4594,LPN,Rheumatology,12,3,Rotating,True,False,70029
147,Jason,Gentry,1980-11-04,Male,cameron72@example.org,429-622-7258x057,RN,Rheumatology,12,3,Night,True,False,71663
148,Matthew,Martinez,1981-10-21,Male,washingtonkent@example.com,(888)251-2181x5572,RN,Rheumatology,12,3,Day,True,False,73041
149,Gregory,Baker,1988-11-10,Male,ramirezchristopher@example.org,001-838-973-0253x40314,LPN,Rheumatology,12,3,Day,True,False,55011
150,Adam,Obrien,1993-04-16,Male,michael60@example.net,915-240-6590,RN,Rheumatology,12,3,Night,True,False,68706
151,Deborah,Garcia,1964-11-06,Female,jonathan66@example.org,(574)228-1220,CNA,Rheumatology,12,3,Day,True,False,64936
152,Julie,Dean,1965-11-08,Female,tpatton@example.com,765-401-4841x31105,LPN,Rheumatology,12,3,Rotating,True,False,72758
153,Stephanie,Henderson,1996-04-17,Female,matthewrodriguez@example.org,620.875.4981x6096,RN,Rheumatology,12,3,Day,True,False,63410
154,Michelle,Robinson,1993-03-12,Female,jconley@example.com,001-425-299-4145x437,RN,Rheumatology,12,3,Night,True,True,73142
155,James,Curtis,1973-07-19,Male,uparsons@example.net,392.372.1039,RN,Rheumatology,12,3,Day,True,False,64224
156,Jessica,Jones,1963-08-30,Female,marycurtis@example.net,+1-516-775-5257x256,RN,Rheumatology,12,3,Night,True,False,60242
157,Paul,Torres,1974-06-17,Male,blairjulie@example.com,338-698-7134x79936,RN,Rheumatology,12,3,Night,True,False,56084
158,Jeff,Erickson,1967-09-06,Male,gonzalezapril@example.com,001-539-800-1779x93431,LPN,Rheumatology,12,3,Night,True,False,59062
159,Maria,Perkins,1967-06-29,Female,johnherman@example.net,(555)703-0876x587,RN,Rheumatology,12,3,Day,True,False,58526
160,Laura,Jackson,1992-07-26,Female,john61@example.com,001-902-268-8577x383,LPN,Rheumatology,12,3,Night,True,False,69036
161,Jose,Conner,1970-06-23,Male,amberwheeler@example.net,(514)229-7905x4204,LPN,Rheumatology,12,3,Night,True,False,64283
162,Kara,Davis,1988-12-02,Female,ruizdouglas@example.org,+1-605-459-3769x548,RN,Rheumatology,12,3,Rotating,True,False,64525
163,Sean,Jones,1978-03-20,Male,javierpayne@example.org,652-226-7550x913,LPN,Rheumatology,12,3,Day,True,False,63645
164,Lisa,Lewis,1993-03-08,Female,ogarcia@example.net,001-975-428-7572x75019,RN,Rheumatology,12,3,Day,True,False,60691
165,Louis,Delgado,1971-12-08,Male,joseph56@example.org,+1-377-680-5892,RN,Rheumatology,12,3,Day,True,False,70204
166,Jeffrey,Williams,1982-08-27,Male,murphyalisha@example.org,(985)835-2481x80627,RN,Cardiology,1,3,Day,True,False,65115
167,Dean,Carson,2002-01-14,Male,danielleramirez@example.net,(915)988-6697x17774,RN,Cardiology,1,3,Day,True,False,70205
168,Stacey,Wright,1981-11-09,Female,kimberlyvelasquez@example.org,6039554570,RN,Cardiology,1,3,Night,True,True,62241
169,Ashlee,Davis,1994-10-16,Female,harold44@example.net,556-999-2245x08577,RN,Cardiology,1,3,Day,True,False,70712
170,Stacey,Church,2000-05-22,Female,jjoyce@example.com,001-604-334-2007x9920,RN,Cardiology,1,3,Day,True,True,55898
171,Luis,Williams,1999-08-15,Male,xgarcia@example.net,(445)890-8726x335,RN,Cardiology,1,3,Night,True,False,67347
172,Jeremy,Johnson,1978-05-15,Male,xhart@example.net,711.716.2131x43325,LPN,Cardiology,1,3,Day,True,False,59287
173,Jody,Miller,1990-06-21,Female,hflores@example.org,(334)939-6324x5745,RN,Cardiology,1,3,Night,True,False,70813
174,Thomas,Hardy,1978-02-23,Male,jessica21@example.net,557-541-1647,RN,Cardiology,1,3,Day,True,False,62749
175,Jane,Huang,1967-09-27,Female,david82@example.com,5517663965,RN,Cardiology,1,3,Night,True,False,72317
176,Brenda,Martin,2002-10-26,Female,amanda07@example.org,3219334266,RN,Cardiology,1,3,Day,True,False,59469
177,Maurice,Nunez,1983-07-07,Male,ramirezjanice@example.net,+1-434-395-8242x57110,RN,Cardiology,1,3,Night,True,True,68983
178,Seth,Anderson,1989-03-19,Male,ronald33@example.net,+1-790-255-9914x91625,RN,Cardiology,1,3,Night,True,False,69249
179,Calvin,James,1996-04-07,Male,ryanjones@example.com,+1-459-511-8665,RN,Cardiology,1,3,Rotating,True,False,64750
180,Marie,Rojas,1961-06-19,Female,longjudy@example.com,+1-492-555-3581x435,RN,Cardiology,1,3,Rotating,True,False,74148
181,Elizabeth,Mcdaniel,1976-09-07,Female,nancyhickman@example.net,(855)509-0313,CNA,Cardiology,1,3,Night,True,False,63941
182,Rebecca,Vargas,1961-03-10,Female,kerrimccoy@example.com,+1-691-264-2957,RN,Cardiology,1,3,Night,True,True,66196
183,Melissa,Patterson,1989-07-14,Female,weavereric@example.com,965-789-1057x1416,CNA,Cardiology,1,3,Rotating,True,False,62145
184,Kimberly,Jones,1962-05-04,Female,xsavage@example.net,+1-973-355-6458x91292,CNA,Cardiology,1,3,Day,True,False,55109
185,Bradley,Cabrera,1982-03-08,Male,knoxlaura@example.net,7183658621,LPN,Cardiology,1,3,Day,True,False,65473
186,Katherine,Boyd,2001-04-27,Female,kaylagrant@example.com,4422743820,LPN,Cardiology,1,3,Night,True,False,57174
187,Samuel,Rose,1980-07-28,Male,paulcarroll@example.com,001-968-478-8927x320,RN,Cardiology,1,3,Rotating,True,False,56496
188,Alexis,Mathews,1978-11-09,Female,gary84@example.org,951.695.8435x502,RN,Cardiology,1,3,Night,True,False,71461
189,Tammy,Morales,1966-11-05,Female,asalas@example.net,001-625-476-7796x96264,RN,Cardiology,1,3,Day,True,True,69300
190,David,Johns,1964-08-27,Male,allen28@example.org,001-460-763-5798x2250,RN,Cardiology,1,3,Day,True,False,66908
191,Jasmine,Chang,1982-04-18,Female,maddenpaul@example.net,(860)883-6605x8739,RN,Cardiology,1,3,Rotating,True,False,55148
192,Jamie,Thompson,1990-03-11,Female,anthony05@example.com,5633887721,LPN,Cardiology,1,3,Night,True,False,71604
193,Andrew,Sanchez,1988-11-17,Male,jacobcasey@example.com,(680)245-9925,RN,Cardiology,1,3,Rotating,True,False,62902
194,Melissa,Bonilla,1967-12-29,Female,matthew96@example.org,+1-427-831-0260x14231,RN,Obstetrics & Maternity,21,5,Night,True,False,57117
195,Bryan,Tucker,1990-02-02,Male,michaelspears@example.net,(580)933-1276,RN,Obstetrics & Maternity,21,5,Day,True,False,61361
196,Timothy,Rojas,1971-12-19,Male,johnsonscott@example.com,498-448-6837x37024,RN,Obstetrics & Maternity,21,5,Day,True,False,60376
197,Juan,Coffey,1991-06-18,Male,kaitlyndavis@example.org,(719)359-5849x563,RN,Obstetrics & Maternity,21,5,Night,True,False,69624
198,Carol,Alvarado,1988-06-16,Female,xkelly@example.net,662.527.7000x446,RN,Obstetrics & Maternity,21,5,Night,True,False,73046
199,Alyssa,Lee,1996-08-21,Female,collinsbrandon@example.net,629.933.5374x959,RN,Obstetrics & Maternity,21,5,Rotating,True,False,70170
200,Matthew,Ward,1989-06-29,Male,thorntonsharon@example.com,+1-791-932-5918x208,RN,Obstetrics & Maternity,21,5,Rotating,True,False,69768
201,Stephanie,Marquez,2000-10-31,Female,qfields@example.com,+1-369-680-8912,CNA,Obstetrics & Maternity,21,5,Rotating,True,False,60055
202,Andrea,Wright,1993-11-04,Female,karenhart@example.org,001-570-964-9044,LPN,Obstetrics & Maternity,21,5,Night,True,False,73692
203,Amanda,Aguilar,1977-04-18,Female,amartinez@example.net,+1-954-832-9749x5898,RN,Obstetrics & Maternity,21,5,Rotating,True,True,55500
204,Benjamin,Jones,1964-08-19,Male,joanne67@example.net,(826)885-0357x81525,LPN,Obstetrics & Maternity,21,5,Day,True,False,60554
205,Stephen,Smith,1997-07-07,Male,wgeorge@example.net,+1-689-328-9558,RN,Obstetrics & Maternity,21,5,Night,True,False,65839
206,Nicole,Miller,1970-11-08,Female,nancyhernandez@example.com,2136343030,LPN,Obstetrics & Maternity,21,5,Night,True,False,59314
207,Brittany,Mckinney,1993-09-28,Female,lee92@example.com,9769052639,RN,Obstetrics & Maternity,21,5,Day,True,False,72432
208,William,Richardson,2004-09-21,Male,larsonjennifer@example.com,(726)674-5964x640,RN,Obstetrics & Maternity,21,5,Day,True,False,59497
209,Jessica,Roy,1988-05-03,Female,gatesryan@example.net,001-668-256-4066x951,RN,Obstetrics & Maternity,21,5,Day,True,False,55952
210,Steven,Duarte,1996-03-22,Male,stephanie39@example.org,637.632.8466x793,CNA,Obstetrics & Maternity,21,5,Night,True,False,60443
